counts	number of items in equivalence class	isoforms in equivalence class
724	3	('ENST00000257261', 'ENST00000278840', 'ENST00000522056')
717	2	('ENST00000398645', 'ENST00000529006')
711	1	('ENST00000254436',)
711	6	('ENST00000312419', 'ENST00000529704', 'ENST00000530584', 'ENST00000532830', 'ENST00000539074', 'ENST00000543494')
703	4	('ENST00000303296', 'ENST00000379016', 'ENST00000456517', 'ENST00000525975')
697	3	('ENST00000380542', 'ENST00000526115', 'ENST00000620138')
696	4	('ENST00000308162', 'ENST00000525451', 'ENST00000527344', 'ENST00000531407')
695	7	('ENST00000352303', 'ENST00000382671', 'ENST00000431206', 'ENST00000525665', 'ENST00000526783', 'ENST00000528906', 'ENST00000532097')
692	1	('ENST00000241052',)
692	1	('ENST00000311413',)
691	1	('ENST00000587424',)
691	10	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000478970', 'ENST00000495052', 'ENST00000540430', 'ENST00000542179', 'ENST00000543445', 'ENST00000545467')
690	1	('ENST00000534355',)
689	4	('ENST00000252268', 'ENST00000415073', 'ENST00000528416', 'ENST00000531989')
688	14	('ENST00000278572', 'ENST00000524851', 'ENST00000525933', 'ENST00000526248', 'ENST00000526608', 'ENST00000527273', 'ENST00000527446', 'ENST00000528439', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
687	4	('ENST00000345732', 'ENST00000389939', 'ENST00000534668', 'ENST00000674194')
685	1	('ENST00000273550',)
678	3	('ENST00000300737', 'ENST00000526596', 'ENST00000616714')
678	4	('ENST00000343597', 'ENST00000411426', 'ENST00000529618', 'ENST00000620384')
677	2	('ENST00000393150', 'ENST00000444739')
675	2	('ENST00000356786', 'ENST00000359902')
673	4	('ENST00000287156', 'ENST00000340573', 'ENST00000526659', 'ENST00000527022')
673	2	('ENST00000265970', 'ENST00000691414')
671	4	('ENST00000260197', 'ENST00000525532', 'ENST00000532694', 'ENST00000534286')
667	1	('ENST00000278612',)
665	3	('ENST00000308162', 'ENST00000525451', 'ENST00000526975')
657	4	('ENST00000312989', 'ENST00000358239', 'ENST00000376745', 'ENST00000679175')
657	6	('ENST00000322776', 'ENST00000415352', 'ENST00000529927', 'ENST00000532303', 'ENST00000533919', 'ENST00000647561')
650	9	('ENST00000361723', 'ENST00000420244', 'ENST00000528737', 'ENST00000531147', 'ENST00000533703', 'ENST00000674617', 'ENST00000675163', 'ENST00000676340', 'ENST00000676459')
648	11	('ENST00000227266', 'ENST00000676612', 'ENST00000677208', 'ENST00000677661', 'ENST00000677802', 'ENST00000678395', 'ENST00000678464', 'ENST00000678506', 'ENST00000678520', 'ENST00000678915', 'ENST00000679224')
646	2	('ENST00000534358', 'ENST00000686588')
644	1	('ENST00000534440',)
642	3	('ENST00000356641', 'ENST00000397843', 'ENST00000532993')
642	3	('ENST00000278616', 'ENST00000452508', 'ENST00000675843')
639	2	('ENST00000323959', 'ENST00000524827')
634	1	('ENST00000396505',)
633	10	('ENST00000354420', 'ENST00000356187', 'ENST00000397604', 'ENST00000397614', 'ENST00000397615', 'ENST00000438658', 'ENST00000525701', 'ENST00000529768', 'ENST00000533410', 'ENST00000534797')
633	7	('ENST00000531329', 'ENST00000531572', 'ENST00000533626', 'ENST00000640290', 'ENST00000651655', 'ENST00000678132', 'ENST00000678993')
631	3	('ENST00000309318', 'ENST00000392210', 'ENST00000542235')
630	1	('ENST00000294244',)
630	4	('ENST00000312390', 'ENST00000526387', 'ENST00000529635', 'ENST00000542590')
630	4	('ENST00000294119', 'ENST00000301935', 'ENST00000529640', 'ENST00000534176')
629	14	('ENST00000227378', 'ENST00000453788', 'ENST00000524590', 'ENST00000525463', 'ENST00000525624', 'ENST00000526110', 'ENST00000527387', 'ENST00000528292', 'ENST00000530391', 'ENST00000532182', 'ENST00000532636', 'ENST00000533540', 'ENST00000534567', 'ENST00000534624')
624	1	('ENST00000260270',)
624	6	('ENST00000270176', 'ENST00000420247', 'ENST00000524944', 'ENST00000525364', 'ENST00000527009', 'ENST00000533862')
623	2	('ENST00000319863', 'ENST00000354286')
623	1	('ENST00000263579',)
618	3	('ENST00000395074', 'ENST00000528954', 'ENST00000530561')
615	3	('ENST00000257829', 'ENST00000527971', 'ENST00000531159')
613	2	('ENST00000356341', 'ENST00000530617')
613	23	('ENST00000338663', 'ENST00000377889', 'ENST00000377890', 'ENST00000377891', 'ENST00000535296', 'ENST00000536981', 'ENST00000538084', 'ENST00000539891', 'ENST00000541425', 'ENST00000544377', 'ENST00000679908', 'ENST00000680002', 'ENST00000680134', 'ENST00000680297', 'ENST00000680610', 'ENST00000680631', 'ENST00000680725', 'ENST00000680729', 'ENST00000681107', 'ENST00000681232', 'ENST00000681467', 'ENST00000681569', 'ENST00000681657')
612	2	('ENST00000614944', 'ENST00000621676')
612	5	('ENST00000300737', 'ENST00000526596', 'ENST00000527651', 'ENST00000533977', 'ENST00000616714')
610	6	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430')
609	1	('ENST00000530721',)
609	2	('ENST00000305885', 'ENST00000535307')
608	2	('ENST00000413761', 'ENST00000432999')
606	3	('ENST00000426335', 'ENST00000524782', 'ENST00000627920')
605	5	('ENST00000380034', 'ENST00000396847', 'ENST00000433961', 'ENST00000682968', 'ENST00000684655')
603	1	('ENST00000532090',)
603	41	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000415361', 'ENST00000426142', 'ENST00000428599', 'ENST00000524630', 'ENST00000525902', 'ENST00000526357', 'ENST00000526772', 'ENST00000527467', 'ENST00000528232', 'ENST00000528621', 'ENST00000529526', 'ENST00000529873', 'ENST00000529919', 'ENST00000529986', 'ENST00000530094', 'ENST00000530748', 'ENST00000531007', 'ENST00000531014', 'ENST00000532245', 'ENST00000532463', 'ENST00000532649', 'ENST00000532787', 'ENST00000532844', 'ENST00000533667', 'ENST00000534579', 'ENST00000673683', 'ENST00000673781', 'ENST00000673810', 'ENST00000673826', 'ENST00000674015', 'ENST00000674060', 'ENST00000674106', 'ENST00000674116', 'ENST00000682621', 'ENST00000683201', 'ENST00000683769')
599	6	('ENST00000257261', 'ENST00000278840', 'ENST00000517312', 'ENST00000518606', 'ENST00000521849', 'ENST00000522056')
598	1	('ENST00000330574',)
598	1	('ENST00000275517',)
598	2	('ENST00000039989', 'ENST00000299240')
597	4	('ENST00000308783', 'ENST00000398645', 'ENST00000529006', 'ENST00000530342')
590	4	('ENST00000278671', 'ENST00000535872', 'ENST00000538404', 'ENST00000544594')
590	2	('ENST00000317568', 'ENST00000355991')
589	3	('ENST00000300688', 'ENST00000529790', 'ENST00000688882')
584	1	('ENST00000304271',)
584	3	('ENST00000356404', 'ENST00000436757', 'ENST00000534749')
580	8	('ENST00000273550', 'ENST00000526640', 'ENST00000529191', 'ENST00000529548', 'ENST00000529631', 'ENST00000530019', 'ENST00000532829', 'ENST00000534180')
579	4	('ENST00000227157', 'ENST00000396222', 'ENST00000422447', 'ENST00000540430')
578	4	('ENST00000305218', 'ENST00000358794', 'ENST00000538945', 'ENST00000543847')
578	1	('ENST00000300151',)
577	7	('ENST00000260045', 'ENST00000682046', 'ENST00000682527', 'ENST00000682978', 'ENST00000683600', 'ENST00000684059', 'ENST00000684702')
577	1	('ENST00000332826',)
574	2	('ENST00000278823', 'ENST00000524902')
574	13	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000478970', 'ENST00000495052', 'ENST00000539814', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000543445', 'ENST00000545467')
572	1	('ENST00000392951',)
571	2	('ENST00000279242', 'ENST00000526319')
571	1	('ENST00000278618',)
570	2	('ENST00000310137', 'ENST00000393979')
570	2	('ENST00000251968', 'ENST00000536719')
567	2	('ENST00000399302', 'ENST00000650167')
567	2	('ENST00000294304', 'ENST00000529993')
566	1	('ENST00000530019',)
566	1	('ENST00000318950',)
564	6	('ENST00000378852', 'ENST00000420461', 'ENST00000455725', 'ENST00000526394', 'ENST00000531273', 'ENST00000534600')
564	11	('ENST00000339995', 'ENST00000396525', 'ENST00000524932', 'ENST00000525681', 'ENST00000526148', 'ENST00000527526', 'ENST00000530211', 'ENST00000531416', 'ENST00000531647', 'ENST00000532082', 'ENST00000532570')
561	7	('ENST00000334211', 'ENST00000359373', 'ENST00000393605', 'ENST00000393609', 'ENST00000426523', 'ENST00000429686', 'ENST00000455638')
561	4	('ENST00000298852', 'ENST00000530912', 'ENST00000602866', 'ENST00000619920')
560	2	('ENST00000263645', 'ENST00000526072')
559	4	('ENST00000334205', 'ENST00000528057', 'ENST00000528355', 'ENST00000530504')
558	3	('ENST00000325486', 'ENST00000325542', 'ENST00000541150')
558	2	('ENST00000310473', 'ENST00000663595')
554	12	('ENST00000328221', 'ENST00000399815', 'ENST00000408968', 'ENST00000528780', 'ENST00000679380', 'ENST00000679765', 'ENST00000680588', 'ENST00000680696', 'ENST00000680938', 'ENST00000681180', 'ENST00000681577', 'ENST00000681938')
552	3	('ENST00000398645', 'ENST00000529006', 'ENST00000530342')
552	2	('ENST00000301488', 'ENST00000531178')
551	6	('ENST00000320631', 'ENST00000359393', 'ENST00000421510', 'ENST00000433803', 'ENST00000455148', 'ENST00000621096')
549	5	('ENST00000339997', 'ENST00000341307', 'ENST00000356000', 'ENST00000377819', 'ENST00000537981')
547	3	('ENST00000227322', 'ENST00000429220', 'ENST00000444935')
547	3	('ENST00000279259', 'ENST00000434372', 'ENST00000529639')
544	4	('ENST00000000442', 'ENST00000405666', 'ENST00000406310', 'ENST00000677967')
543	1	('ENST00000279281',)
540	6	('ENST00000300738', 'ENST00000528442', 'ENST00000532170', 'ENST00000533349', 'ENST00000533495', 'ENST00000534285')
539	1	('ENST00000299563',)
537	2	('ENST00000064780', 'ENST00000393580')
535	4	('ENST00000358965', 'ENST00000393695', 'ENST00000541584', 'ENST00000620566')
534	7	('ENST00000322776', 'ENST00000415352', 'ENST00000527355', 'ENST00000529927', 'ENST00000532303', 'ENST00000533919', 'ENST00000647561')
534	4	('ENST00000294066', 'ENST00000377350', 'ENST00000433890', 'ENST00000435926')
534	6	('ENST00000322776', 'ENST00000415352', 'ENST00000527355', 'ENST00000529927', 'ENST00000532303', 'ENST00000647561')
534	4	('ENST00000309100', 'ENST00000524848', 'ENST00000530153', 'ENST00000532507')
534	6	('ENST00000531329', 'ENST00000533626', 'ENST00000651655', 'ENST00000677121', 'ENST00000678132', 'ENST00000678993')
533	3	('ENST00000358965', 'ENST00000393695', 'ENST00000620566')
527	2	('ENST00000305885', 'ENST00000535723')
527	2	('ENST00000300151', 'ENST00000534340')
527	3	('ENST00000438576', 'ENST00000449692', 'ENST00000530188')
526	2	('ENST00000395290', 'ENST00000687097')
525	7	('ENST00000312419', 'ENST00000529704', 'ENST00000530584', 'ENST00000531239', 'ENST00000532830', 'ENST00000539074', 'ENST00000543494')
524	17	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000478970', 'ENST00000486690', 'ENST00000495052', 'ENST00000535451', 'ENST00000536528', 'ENST00000539814', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000543445', 'ENST00000545215', 'ENST00000545467')
523	2	('ENST00000298281', 'ENST00000690938')
520	4	('ENST00000379965', 'ENST00000414641', 'ENST00000414897', 'ENST00000425490')
519	4	('ENST00000453788', 'ENST00000525463', 'ENST00000533540', 'ENST00000534624')
517	12	('ENST00000322776', 'ENST00000415352', 'ENST00000528314', 'ENST00000529867', 'ENST00000529927', 'ENST00000530103', 'ENST00000530638', 'ENST00000532244', 'ENST00000532303', 'ENST00000532343', 'ENST00000533075', 'ENST00000647561')
515	4	('ENST00000273550', 'ENST00000532829', 'ENST00000534180', 'ENST00000620041')
513	1	('ENST00000314138',)
509	5	('ENST00000308639', 'ENST00000406246', 'ENST00000525693', 'ENST00000526283', 'ENST00000612991')
506	4	('ENST00000319397', 'ENST00000392668', 'ENST00000526145', 'ENST00000531611')
503	6	('ENST00000324932', 'ENST00000355260', 'ENST00000359171', 'ENST00000397004', 'ENST00000397007', 'ENST00000650171')
503	5	('ENST00000395850', 'ENST00000642928', 'ENST00000651485', 'ENST00000651785', 'ENST00000652678')
502	1	('ENST00000688882',)
502	6	('ENST00000263398', 'ENST00000425428', 'ENST00000428726', 'ENST00000433892', 'ENST00000434472', 'ENST00000525469')
499	3	('ENST00000308162', 'ENST00000525451', 'ENST00000527344')
497	4	('ENST00000395288', 'ENST00000430070', 'ENST00000526005', 'ENST00000533290')
496	2	('ENST00000287169', 'ENST00000527985')
495	4	('ENST00000354588', 'ENST00000431002', 'ENST00000524958', 'ENST00000532208')
495	3	('ENST00000319006', 'ENST00000528097', 'ENST00000530440')
494	2	('ENST00000320580', 'ENST00000529757')
494	3	('ENST00000279227', 'ENST00000345728', 'ENST00000544997')
493	14	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000525690', 'ENST00000525933', 'ENST00000526248', 'ENST00000526608', 'ENST00000527446', 'ENST00000528439', 'ENST00000530170', 'ENST00000530721', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
492	3	('ENST00000378460', 'ENST00000528071', 'ENST00000530326')
491	1	('ENST00000294064',)
490	5	('ENST00000312515', 'ENST00000376991', 'ENST00000525501', 'ENST00000527119', 'ENST00000532933')
488	6	('ENST00000320631', 'ENST00000359393', 'ENST00000411683', 'ENST00000433803', 'ENST00000457202', 'ENST00000621096')
488	2	('ENST00000278193', 'ENST00000524596')
487	6	('ENST00000322535', 'ENST00000524475', 'ENST00000524627', 'ENST00000528302', 'ENST00000530322', 'ENST00000533595')
485	1	('ENST00000301838',)
483	4	('ENST00000298281', 'ENST00000530304', 'ENST00000530660', 'ENST00000690938')
483	5	('ENST00000300688', 'ENST00000529790', 'ENST00000533172', 'ENST00000688882', 'ENST00000689460')
482	6	('ENST00000339995', 'ENST00000396525', 'ENST00000525681', 'ENST00000526148', 'ENST00000531416', 'ENST00000532082')
481	1	('ENST00000497194',)
479	2	('ENST00000300688', 'ENST00000689460')
479	2	('ENST00000227451', 'ENST00000532982')
479	5	('ENST00000358965', 'ENST00000393695', 'ENST00000537217', 'ENST00000542977', 'ENST00000620566')
477	1	('ENST00000282032',)
476	9	('ENST00000322536', 'ENST00000526794', 'ENST00000648124', 'ENST00000686283', 'ENST00000686617', 'ENST00000687072', 'ENST00000688583', 'ENST00000688976', 'ENST00000690021')
476	1	('ENST00000527614',)
475	6	('ENST00000334211', 'ENST00000359373', 'ENST00000393605', 'ENST00000393609', 'ENST00000426523', 'ENST00000429686')
474	4	('ENST00000323213', 'ENST00000531120', 'ENST00000532444', 'ENST00000533439')
474	6	('ENST00000314138', 'ENST00000525981', 'ENST00000526562', 'ENST00000530022', 'ENST00000531978', 'ENST00000532359')
474	2	('ENST00000278412', 'ENST00000526696')
473	2	('ENST00000263674', 'ENST00000643371')
472	3	('ENST00000263464', 'ENST00000532808', 'ENST00000615299')
471	3	('ENST00000354852', 'ENST00000429814', 'ENST00000514226')
471	2	('ENST00000524717', 'ENST00000618849')
471	3	('ENST00000300738', 'ENST00000532170', 'ENST00000533349')
470	2	('ENST00000298317', 'ENST00000533628')
469	1	('ENST00000377793',)
468	5	('ENST00000278856', 'ENST00000311713', 'ENST00000525239', 'ENST00000525752', 'ENST00000529106')
468	3	('ENST00000325207', 'ENST00000526104', 'ENST00000527696')
468	3	('ENST00000642928', 'ENST00000651785', 'ENST00000652678')
467	6	('ENST00000352187', 'ENST00000395123', 'ENST00000395124', 'ENST00000529554', 'ENST00000530005', 'ENST00000533524')
467	1	('ENST00000265465',)
467	3	('ENST00000263672', 'ENST00000526883', 'ENST00000532972')
465	2	('ENST00000265462', 'ENST00000352435')
463	1	('ENST00000263681',)
462	3	('ENST00000308783', 'ENST00000398645', 'ENST00000529006')
460	6	('ENST00000381514', 'ENST00000381519', 'ENST00000397294', 'ENST00000397297', 'ENST00000397298', 'ENST00000429295')
460	4	('ENST00000263398', 'ENST00000425428', 'ENST00000428726', 'ENST00000433892')
459	5	('ENST00000273550', 'ENST00000526640', 'ENST00000532829', 'ENST00000534180', 'ENST00000620041')
458	1	('ENST00000336615',)
458	42	('ENST00000358694', 'ENST00000361332', 'ENST00000361391', 'ENST00000361796', 'ENST00000399050', 'ENST00000415361', 'ENST00000426142', 'ENST00000428599', 'ENST00000524630', 'ENST00000525902', 'ENST00000526357', 'ENST00000526772', 'ENST00000526938', 'ENST00000527467', 'ENST00000528232', 'ENST00000528621', 'ENST00000529526', 'ENST00000529873', 'ENST00000529919', 'ENST00000529986', 'ENST00000530094', 'ENST00000530748', 'ENST00000531007', 'ENST00000531014', 'ENST00000532245', 'ENST00000532463', 'ENST00000532649', 'ENST00000532787', 'ENST00000532844', 'ENST00000533667', 'ENST00000534579', 'ENST00000673683', 'ENST00000673781', 'ENST00000673810', 'ENST00000673826', 'ENST00000674015', 'ENST00000674060', 'ENST00000674106', 'ENST00000674116', 'ENST00000682621', 'ENST00000683201', 'ENST00000683769')
453	6	('ENST00000263360', 'ENST00000327320', 'ENST00000351625', 'ENST00000528180', 'ENST00000672825', 'ENST00000673233')
452	1	('ENST00000278935',)
452	3	('ENST00000504148', 'ENST00000509359', 'ENST00000541231')
452	8	('ENST00000389506', 'ENST00000534358', 'ENST00000649699', 'ENST00000649878', 'ENST00000685397', 'ENST00000686370', 'ENST00000689424', 'ENST00000691053')
450	3	('ENST00000264027', 'ENST00000392789', 'ENST00000534230')
450	4	('ENST00000322535', 'ENST00000528302', 'ENST00000530322', 'ENST00000533595')
449	1	('ENST00000524717',)
448	8	('ENST00000263645', 'ENST00000381036', 'ENST00000464784', 'ENST00000481687', 'ENST00000492252', 'ENST00000492627', 'ENST00000526072', 'ENST00000527343')
448	1	('ENST00000307980',)
445	2	('ENST00000294053', 'ENST00000538039')
445	2	('ENST00000308440', 'ENST00000511455')
441	2	('ENST00000378460', 'ENST00000530326')
441	3	('ENST00000278422', 'ENST00000378312', 'ENST00000529403')
440	7	('ENST00000227155', 'ENST00000342935', 'ENST00000524704', 'ENST00000525813', 'ENST00000526958', 'ENST00000527737', 'ENST00000532544')
439	8	('ENST00000310513', 'ENST00000358597', 'ENST00000361904', 'ENST00000395290', 'ENST00000395292', 'ENST00000531165', 'ENST00000532048', 'ENST00000687097')
438	2	('ENST00000526562', 'ENST00000530913')
436	1	('ENST00000327470',)
432	4	('ENST00000305218', 'ENST00000358794', 'ENST00000538945', 'ENST00000540887')
431	2	('ENST00000525071', 'ENST00000525815')
431	1	('ENST00000254616',)
430	4	('ENST00000300738', 'ENST00000532170', 'ENST00000533349', 'ENST00000533495')
427	5	('ENST00000524711', 'ENST00000524896', 'ENST00000525782', 'ENST00000526267', 'ENST00000531120')
427	1	('ENST00000332349',)
426	4	('ENST00000263672', 'ENST00000526361', 'ENST00000530257', 'ENST00000532972')
425	4	('ENST00000389506', 'ENST00000534358', 'ENST00000686588', 'ENST00000691053')
423	6	('ENST00000278616', 'ENST00000452508', 'ENST00000527805', 'ENST00000675595', 'ENST00000675843', 'ENST00000684037')
423	19	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000430553', 'ENST00000478970', 'ENST00000486690', 'ENST00000495052', 'ENST00000535451', 'ENST00000536528', 'ENST00000539814', 'ENST00000540430', 'ENST00000541097', 'ENST00000542179', 'ENST00000543445', 'ENST00000543695', 'ENST00000545215', 'ENST00000545467', 'ENST00000625635')
422	1	('ENST00000260227',)
421	19	('ENST00000313010', 'ENST00000393399', 'ENST00000528082', 'ENST00000531801', 'ENST00000532809', 'ENST00000534264', 'ENST00000679387', 'ENST00000679623', 'ENST00000679809', 'ENST00000680040', 'ENST00000680186', 'ENST00000680437', 'ENST00000680524', 'ENST00000680566', 'ENST00000681322', 'ENST00000681432', 'ENST00000681592', 'ENST00000681637', 'ENST00000681883')
